InvoiceNo,InvoiceDate,TTL_price,CustomerID
536365,01-12-2010 08:26,27.37,17850.0
536366,01-12-2010 08:28,3.7,17850.0
536367,01-12-2010 08:34,58.24000000000001,13047.0
536368,01-12-2010 08:34,19.099999999999998,13047.0
536369,01-12-2010 08:35,5.95,13047.0
536370,01-12-2010 08:45,55.29,12583.0
536371,01-12-2010 09:00,2.55,13748.0
536372,01-12-2010 09:01,3.7,17850.0
536373,01-12-2010 09:02,53.11,17850.0
536374,01-12-2010 09:09,10.95,15100.0
536375,01-12-2010 09:32,53.11,17850.0
536376,01-12-2010 09:32,6.0,15291.0
536377,01-12-2010 09:34,3.7,17850.0
536378,01-12-2010 09:37,33.35,14688.0
536380,01-12-2010 09:41,1.45,17809.0
536381,01-12-2010 09:41,88.20000000000005,15311.0
536382,01-12-2010 09:45,71.65,16098.0
536384,01-12-2010 09:53,62.150000000000006,18074.0
536385,01-12-2010 09:56,38.99999999999999,17420.0
536386,01-12-2010 09:57,8.25,16029.0
536387,01-12-2010 09:58,13.259999999999998,16029.0
536388,01-12-2010 09:59,47.27,16250.0
536389,01-12-2010 10:03,73.9,12431.0
536390,01-12-2010 10:19,58.870000000000005,17511.0
536392,01-12-2010 10:29,183.98999999999998,13705.0
536393,01-12-2010 10:37,9.95,13747.0
536394,01-12-2010 10:39,24.07,13408.0
536395,01-12-2010 10:47,35.99,13767.0
536396,01-12-2010 10:51,93.81,17850.0
536397,01-12-2010 10:51,9.3,17924.0
536398,01-12-2010 10:52,63.790000000000006,13448.0
536399,01-12-2010 10:52,3.7,17850.0
536400,01-12-2010 10:53,1.45,13448.0
536401,01-12-2010 11:21,207.03999999999996,15862.0
536402,01-12-2010 11:22,9.35,15513.0
536403,01-12-2010 11:27,16.85,12791.0
536404,01-12-2010 11:29,32.75000000000001,16218.0
536405,01-12-2010 11:32,2.55,14045.0
536406,01-12-2010 11:33,88.86,17850.0
536407,01-12-2010 11:34,3.7,17850.0
536408,01-12-2010 11:41,115.35000000000004,14307.0
536409,01-12-2010 11:45,155.0099999999999,17908.0
536412,01-12-2010 11:49,225.80999999999992,17920.0
536414,01-12-2010 11:52,0.0,
536415,01-12-2010 11:57,116.43,12838.0
536416,01-12-2010 11:58,27.299999999999997,13255.0
536420,01-12-2010 12:03,35.900000000000006,16583.0
536423,01-12-2010 12:08,34.6,18085.0
536425,01-12-2010 12:08,61.55000000000001,13758.0
536437,01-12-2010 12:12,10.58,13694.0
536446,01-12-2010 12:15,60.129999999999995,15983.0
536460,01-12-2010 12:22,49.68000000000001,14849.0
536463,01-12-2010 12:22,1.45,14849.0
536464,01-12-2010 12:23,163.97999999999988,17968.0
536466,01-12-2010 12:23,5.7,14849.0
536477,01-12-2010 12:27,36.24,16210.0
536488,01-12-2010 12:31,94.77000000000001,17897.0
536500,01-12-2010 12:35,42.2,17377.0
536502,01-12-2010 12:36,23.19,16552.0
536508,01-12-2010 12:38,1.61,17181.0
536514,01-12-2010 12:40,22.000000000000004,17951.0
536520,01-12-2010 12:43,153.29999999999998,14729.0
536521,01-12-2010 12:48,4.95,12748.0
536522,01-12-2010 12:49,146.18999999999997,15012.0
536523,01-12-2010 12:50,38.05,12868.0
536524,01-12-2010 12:51,11.8,17572.0
536525,01-12-2010 12:54,45.370000000000005,14078.0
536526,01-12-2010 12:58,39.74000000000001,14001.0
536527,01-12-2010 13:04,44.37,12662.0
536528,01-12-2010 13:17,190.76000000000002,15525.0
536529,01-12-2010 13:20,64.1,14237.0
536530,01-12-2010 13:21,109.90000000000003,17905.0
536531,01-12-2010 13:23,92.41,15485.0
536532,01-12-2010 13:24,102.67,12433.0
536533,01-12-2010 13:31,40.05,16955.0
536534,01-12-2010 13:33,13.350000000000001,15350.0
536535,01-12-2010 13:38,58.20000000000002,15605.0
536536,01-12-2010 13:45,7.890000000000001,18144.0
536537,01-12-2010 13:51,48.5,15922.0
536538,01-12-2010 13:54,93.27000000000001,14594.0
536539,01-12-2010 14:03,134.65,15165.0
536540,01-12-2010 14:05,132.39000000000001,14911.0
536541,01-12-2010 14:05,1.25,14911.0
536542,01-12-2010 14:11,31.449999999999992,16456.0
